timestamp_brt,heart_rate_bpm,relative_video_time
2025-12-05 15:34:54,87,1.26
2025-12-05 15:34:55,87,2.26
2025-12-05 15:34:56,85,3.26
2025-12-05 15:34:58,83,5.27
2025-12-05 15:35:00,82,7.26
2025-12-05 15:35:01,82,8.27
2025-12-05 15:35:02,82,9.27
2025-12-05 15:35:04,83,11.27
2025-12-05 15:35:05,83,12.27
2025-12-05 15:35:07,83,14.27
2025-12-05 15:35:08,82,15.27
2025-12-05 15:35:10,80,17.27
2025-12-05 15:35:12,79,19.27
2025-12-05 15:35:13,79,20.27
2025-12-05 15:35:15,79,22.27
2025-12-05 15:35:16,80,23.28
2025-12-05 15:35:18,81,25.27
2025-12-05 15:35:19,81,26.28
2025-12-05 15:35:20,80,27.28
2025-12-05 15:35:22,80,29.27
2025-12-05 15:35:24,81,31.29
2025-12-05 15:35:26,83,33.28
2025-12-05 15:35:28,83,35.27
2025-12-05 15:35:29,83,36.28
2025-12-05 15:35:30,83,37.28
2025-12-05 15:35:31,83,38.28
2025-12-05 15:35:32,83,39.28
2025-12-05 15:35:34,83,41.28
2025-12-05 15:35:36,83,43.29
2025-12-05 15:35:38,85,45.28
2025-12-05 15:35:39,85,46.28
2025-12-05 15:35:40,87,47.29
2025-12-05 15:35:42,87,49.28
2025-12-05 15:35:43,87,50.28
2025-12-05 15:35:44,86,51.28
2025-12-05 15:35:45,86,52.29
2025-12-05 15:35:47,86,54.28
2025-12-05 15:35:48,86,55.29
2025-12-05 15:35:50,86,57.29
2025-12-05 15:35:52,87,59.28
2025-12-05 15:35:53,87,60.29
2025-12-05 15:35:55,87,62.29
2025-12-05 15:35:57,87,64.3
2025-12-05 15:35:59,85,66.29
2025-12-05 15:36:01,83,68.29
2025-12-05 15:36:03,82,70.29
2025-12-05 15:36:05,83,72.29
2025-12-05 15:36:06,85,73.29
2025-12-05 15:36:07,85,74.29
2025-12-05 15:36:08,86,75.29
2025-12-05 15:36:10,88,77.29
2025-12-05 15:36:12,92,79.29
2025-12-05 15:36:13,92,80.29
2025-12-05 15:36:14,93,81.29
2025-12-05 15:36:16,91,83.3
