experiment_id,model_name,pretrain_dataset,checkpoint_name,group_by,group_value,n_total_events,n_valid_events,n_invalid_events,coverage_rate,MAE,MAE_std_err,RMSE,RMSE_std_err,MAPE,MAPE_std_err,Pearson,Pearson_std_err,median_abs_error,std_abs_error
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,global,all,10334,9616,718,0.9305206115734469,19.604085557274335,0.13911808354613922,23.883607500194156,0.13911808354613922,21.90496577635955,0.14876634947428452,-0.024888778430101566,0.01019561405430172,17.626953125,13.642086962279572
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,subject_id,person_0,752,665,87,0.8843085106382979,28.57079417293233,0.581594781920808,32.26806758638964,0.581594781920808,28.88851152012934,0.5826967884468917,0.10133557278098378,0.038636861823098154,28.6875,14.99793006010315
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,subject_id,person_1,765,687,78,0.8980392156862745,18.82668076783115,0.4896388383659116,22.784853360572118,0.4896388383659116,20.84139627027184,0.5381654331457322,0.08821368534528926,0.03805908479396813,17.140625,12.833769279870639
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,subject_id,person_2,704,686,18,0.9744318181818182,14.518101995262391,0.38162405208190936,17.626179696526673,0.38162405208190936,20.35743699895603,0.5409910045004978,0.04223153035306118,0.038201843473859035,13.431640625,9.995345174100157
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,subject_id,person_3,781,757,24,0.969270166453265,16.442784015852048,0.4656656402307382,20.845057543216992,0.4656656402307382,18.674873878127407,0.5260349486841538,0.02660822080761148,0.03638084064914318,13.29296875,12.81215351875195
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,subject_id,person_4,724,701,23,0.9682320441988951,26.717535217546363,0.5861016507850155,30.897100264958965,0.5861016507850155,26.704407270097345,0.5655196675350039,-0.07060241472543875,0.03772908660078486,26.74609375,15.517864436902945
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,subject_id,person_5,679,663,16,0.9764359351988218,20.46063112745098,0.4787340025338037,23.88698195020262,0.4787340025338037,22.101600277124206,0.5118788499977537,0.06209888601495567,0.038820423846843366,20.29296875,12.326819563686728
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,subject_id,person_6,725,710,15,0.9793103448275862,17.88528829225352,0.5039627517811036,22.36533568889133,0.5039627517811036,19.521205925809245,0.5378641978147891,-0.07323864583357434,0.03748137203539944,16.078125,13.42850338570071
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,subject_id,person_7,780,697,83,0.8935897435897436,27.642569718436153,0.5773604656433347,31.56664696191633,0.5773604656433347,27.96756464670706,0.5843481800470146,0.11051208720377652,0.03769981925766007,25.92578125,15.242753681000625
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,subject_id,person_8,796,742,54,0.9321608040201005,13.288062247304582,0.3740235168267911,16.744361526010362,0.3740235168267911,18.678056340102426,0.531095163533052,-0.033002326440374846,0.03674070661036727,10.4765625,10.188279767727956
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,subject_id,person_9,660,645,15,0.9772727272727273,17.75296753875969,0.5099565791749882,21.975072038278793,0.5099565791749882,19.31809078422329,0.5352180654917502,0.010779223576097632,0.0394338591937965,15.80859375,12.951290848995983
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,subject_id,person_10,769,603,166,0.7841352405721717,21.538919983416253,0.52292565100715,25.076207242128994,0.52292565100715,23.69831351824395,0.5724218048942256,0.0215658305037722,0.0407813641118885,21.4453125,12.840992780863743
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,subject_id,person_11,688,652,36,0.9476744186046512,17.322175757285276,0.45105944653823543,20.801687143529993,0.45105944653823543,20.714331481400098,0.5289200987109338,-0.09889738988045926,0.03903094051321203,16.400390625,11.517483017179547
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,subject_id,person_12,568,507,61,0.8926056338028169,15.806290064102564,0.49052677685816326,19.282929772980054,0.49052677685816326,18.48374073527782,0.5700916198082437,0.04515196482808206,0.04445403232825913,15.04296875,11.045024899887421
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,subject_id,person_13,943,901,42,0.9554612937433722,18.09848432297447,0.40394529652343436,21.784694831844693,0.40394529652343436,20.859268438838566,0.4613160043318936,-0.2741028798981842,0.03207450328692427,16.6796875,12.125089448232874
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,discard_reason,,9616,9616,0,1.0,19.604085557274335,0.13911808354613922,23.883607500194156,0.13911808354613922,21.90496577635955,0.14876634947428452,-0.024888778430101566,0.01019561405430172,17.626953125,13.642086962279572
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,discard_reason,annotated_failure_interval,447,0,447,0.0,,,,,,,,,,
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,discard_reason,before_window_seconds,90,0,90,0.0,,,,,,,,,,
PhysMamba_PURE,PhysMamba,PURE,PURE_PhysMamba_DiffNormalized.pth,discard_reason,window_out_of_prediction_bounds,181,0,181,0.0,,,,,,,,,,
