experiment_id,model_name,pretrain_dataset,checkpoint_name,subject_id,video_name,video_dir,n_total_events,n_valid_events,n_invalid_events,coverage_rate,MAE,MAE_std_err,RMSE,RMSE_std_err,MAPE,MAPE_std_err,Pearson,Pearson_std_err,median_abs_error,std_abs_error
TSCAN_UBFC-rPPG,TSCAN,UBFC-rPPG,UBFC-rPPG_TSCAN.pth,person_0,person_0,dataset/person_0,752,664,88,0.8829787234042553,32.97393872364458,0.6211169049160905,36.65300367100678,0.6211169049160905,33.281416666766326,0.6166509855714819,-0.04345562780251223,0.03882938916411696,32.9609375,16.005063047553705
TSCAN_UBFC-rPPG,TSCAN,UBFC-rPPG,UBFC-rPPG_TSCAN.pth,person_1,person_1,dataset/person_1,765,684,81,0.8941176470588236,24.725357501827485,0.5338884880326997,28.39557281106343,0.5338884880326997,27.354179777460022,0.5841687723646352,-0.029887376151968074,0.03827487297677417,23.83984375,13.962995798725574
TSCAN_UBFC-rPPG,TSCAN,UBFC-rPPG,UBFC-rPPG_TSCAN.pth,person_2,person_2,dataset/person_2,704,684,20,0.9715909090909091,14.605360243055555,0.39641168745707117,17.910941638590103,0.39641168745707117,20.399904194605742,0.5534100322229137,0.05014474279724938,0.03824380625240194,12.728515625,10.36751091398282
TSCAN_UBFC-rPPG,TSCAN,UBFC-rPPG,UBFC-rPPG_TSCAN.pth,person_3,person_3,dataset/person_3,781,755,26,0.9667093469910372,25.09378104304636,0.49732493968494645,28.573301860985417,0.49732493968494645,28.448137346936278,0.5560371568501428,0.006805158356342211,0.036441182025787534,25.75,13.665128327338895
TSCAN_UBFC-rPPG,TSCAN,UBFC-rPPG,UBFC-rPPG_TSCAN.pth,person_4,person_4,dataset/person_4,724,702,22,0.9696132596685083,32.697727475071225,0.6081980321063166,36.45290913092042,0.6081980321063166,32.862169589417576,0.5980939449741587,0.054647674208276896,0.03773996804646285,32.9453125,16.11437873680252
TSCAN_UBFC-rPPG,TSCAN,UBFC-rPPG,UBFC-rPPG_TSCAN.pth,person_5,person_5,dataset/person_5,679,664,15,0.9779086892488954,24.817106315888555,0.5581314612504937,28.683303319371873,0.5581314612504937,26.818063845436455,0.5977415377393571,0.03531487583392766,0.038841860410623485,24.384765625,14.382041698485441
TSCAN_UBFC-rPPG,TSCAN,UBFC-rPPG,UBFC-rPPG_TSCAN.pth,person_6,person_6,dataset/person_6,725,709,16,0.9779310344827586,24.401500793370946,0.5448166613511829,28.388066222611048,0.5448166613511829,26.804200402239903,0.586001660960405,0.022481832995870584,0.037599365142273945,25.11328125,14.506862613620745
TSCAN_UBFC-rPPG,TSCAN,UBFC-rPPG,UBFC-rPPG_TSCAN.pth,person_7,person_7,dataset/person_7,780,698,82,0.8948717948717949,36.39817447170487,0.6151906871461456,39.862161165640636,0.6151906871461456,36.76734402057132,0.6134969318330531,0.03517352094131624,0.03788144739373783,38.59765625,16.253147015973244
TSCAN_UBFC-rPPG,TSCAN,UBFC-rPPG,UBFC-rPPG_TSCAN.pth,person_8,person_8,dataset/person_8,796,740,56,0.9296482412060302,14.218412162162162,0.36666560265946246,17.368118951158895,0.36666560265946246,19.914722620788897,0.5125249050443254,0.011334844624224471,0.03680814393245739,12.68359375,9.974382762280774
TSCAN_UBFC-rPPG,TSCAN,UBFC-rPPG,UBFC-rPPG_TSCAN.pth,person_9,person_9,dataset/person_9,660,643,17,0.9742424242424242,24.573526195567652,0.5629715906968931,28.419160585006562,0.5629715906968931,26.86074275531069,0.5999791324387692,0.062008046487411476,0.03942161800262781,24.5078125,14.275520959745778
TSCAN_UBFC-rPPG,TSCAN,UBFC-rPPG,UBFC-rPPG_TSCAN.pth,person_10,person_10,dataset/person_10,769,602,167,0.7828348504551366,28.778427377491695,0.5496409549168945,31.781522938232218,0.5496409549168945,31.707595924943202,0.5999189812775586,0.033756436258903746,0.04080156253158079,28.33984375,13.485819142781697
TSCAN_UBFC-rPPG,TSCAN,UBFC-rPPG,UBFC-rPPG_TSCAN.pth,person_11,person_11,dataset/person_11,688,651,37,0.9462209302325582,21.263692876344088,0.5175373477201761,25.03021511555931,0.5175373477201761,25.471117608598757,0.6079750319680678,-0.09910426264952124,0.03906019109909124,21.07421875,13.20481101688652
TSCAN_UBFC-rPPG,TSCAN,UBFC-rPPG,UBFC-rPPG_TSCAN.pth,person_12,person_12,dataset/person_12,568,508,60,0.8943661971830986,19.51285679133858,0.6124355840269602,23.901691806379933,0.6124355840269602,22.703552674390192,0.6987115856746855,0.01180607575956452,0.04445232416495591,17.9765625,13.803597032943312
TSCAN_UBFC-rPPG,TSCAN,UBFC-rPPG,UBFC-rPPG_TSCAN.pth,person_13,person_13,dataset/person_13,943,899,44,0.953340402969247,24.679109600945495,0.4950503364515583,28.79897095242433,0.4950503364515583,28.410504569893238,0.5591250097263938,0.005196919808096346,0.03338857727663729,25.0234375,14.843256961432022
