experiment_id,model_name,pretrain_dataset,checkpoint_name,group_by,group_value,n_total_events,n_valid_events,n_invalid_events,coverage_rate,MAE,MAE_std_err,RMSE,RMSE_std_err,MAPE,MAPE_std_err,Pearson,Pearson_std_err,median_abs_error,std_abs_error
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,global,all,10334,9614,720,0.9303270756725373,24.618634364598503,0.13074581858754808,27.7565016472702,0.13074581858754808,27.14587067158593,0.13234421360034224,0.0007982590489984953,0.010199831106278036,24.83984375,12.819759191073867
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,subject_id,person_0,752,665,87,0.8843085106382979,34.26095512218045,0.4184881469841651,35.920412647680045,0.4184881469841651,34.60215491415267,0.4062445504349015,0.036115786421469905,0.038811445225596604,35.35546875,10.791802393277488
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,subject_id,person_1,765,687,78,0.8980392156862745,24.792093113173216,0.39845913634532487,26.902093847595072,0.39845913634532487,27.421112414252697,0.43464277109733523,-0.00472092145918489,0.03820761021952267,24.71875,10.44388684602441
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,subject_id,person_2,704,684,20,0.9715909090909091,10.493512426900585,0.3010235293645374,13.118482232010587,0.3010235293645374,14.527270822223988,0.41031786899813405,0.1570371228376044,0.03781687900022973,9.59765625,7.872786864767803
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,subject_id,person_3,781,755,26,0.9667093469910372,23.431053394039736,0.4212081596490513,26.133571895921943,0.4212081596490513,26.404907275425604,0.46270208903683474,-0.11686626965948346,0.036192312710810214,23.5,11.573647518607961
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,subject_id,person_4,724,703,21,0.9709944751381215,35.416546274893314,0.4366051096811104,37.260440649122984,0.4366051096811104,35.541253432196356,0.4041137231091082,0.011218944058910212,0.03776710173306331,36.11328125,11.57621213200402
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,subject_id,person_5,679,666,13,0.9808541973490427,26.515061936936938,0.4123950450359146,28.5712252423822,0.4123950450359146,28.59871416384803,0.43429797335448395,-0.043486376539007894,0.03877081514504572,26.203125,10.642668947746891
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,subject_id,person_6,725,709,16,0.9779310344827586,26.1739245416079,0.43119721063714006,28.581452540814134,0.43119721063714006,28.613970025824102,0.4438346992263701,-0.0420473240434441,0.03757561019691011,27.08203125,11.481511374075556
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,subject_id,person_7,780,698,82,0.8948717948717949,34.54613068588825,0.4301125401750008,36.36705803090336,0.4301125401750008,34.864549889206785,0.42283348966186396,0.0006013098560734673,0.03790489532623966,35.71875,11.363439816209816
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,subject_id,person_8,796,742,54,0.9321608040201005,9.705867798180593,0.31261518109206876,12.91194146095332,0.31261518109206876,13.580240036691045,0.4415376899987077,-0.05620346076140964,0.036702624749619835,7.91015625,8.515536540660628
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,subject_id,person_9,660,644,16,0.9757575757575757,25.807319972826086,0.4572008963811728,28.295490753750038,0.4572008963811728,28.116961669603956,0.47260285529227436,0.04734671050743288,0.039422590440990515,25.9765625,11.602458050591075
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,subject_id,person_10,769,602,167,0.7828348504551366,27.903706395348838,0.4049406167913077,29.619772556190924,0.4049406167913077,30.690598136397234,0.43281084622475274,0.008990311811047216,0.04082317916522304,28.11328125,9.935496750673792
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,subject_id,person_11,688,651,37,0.9462209302325582,20.654719902073733,0.3719962671826911,22.731115904735628,0.3719962671826911,24.753526023357885,0.43374167869046176,-0.029826067196618622,0.03923596989909024,21.83984375,9.491373769976837
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,subject_id,person_12,568,508,60,0.8943661971830986,21.48375215305118,0.4315591406465531,23.583112577574056,0.4315591406465531,24.956506936635133,0.48446936597437046,0.1724656431560403,0.04378928167470333,21.08203125,9.726849041328872
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,subject_id,person_13,943,900,43,0.9544008483563097,24.21421875,0.31856554596197306,26.03198025582181,0.31856554596197306,27.946941469185056,0.36074378235522064,0.06706186920982954,0.033295309328369486,25.21875,9.556966378859192
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,discard_reason,,9614,9614,0,1.0,24.618634364598503,0.13074581858754808,27.7565016472702,0.13074581858754808,27.14587067158593,0.13234421360034224,0.0007982590489984953,0.010199831106278036,24.83984375,12.819759191073867
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,discard_reason,annotated_failure_interval,447,0,447,0.0,,,,,,,,,,
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,discard_reason,before_window_seconds,90,0,90,0.0,,,,,,,,,,
iBVPNet_PURE,iBVPNet,PURE,PURE_iBVPNet.pth,discard_reason,window_out_of_prediction_bounds,183,0,183,0.0,,,,,,,,,,
